Tue Apr 30 00:40:07 2024    profile_results.prof

         123280698 function calls (122838937 primitive calls) in 653.347 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    95107    0.171    0.000    0.310    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\array_algos\take.py:517(_take_preprocess_indexer_and_fill_value)
    95166    0.206    0.000    0.308    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:5435(__finalize__)
    78217    0.195    0.000    0.301    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:190(is_sparse)
      197    0.001    0.000    0.294    0.001 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\target.py:23(load_additional_registries)
    31694    0.042    0.000    0.283    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\groupby\ops.py:1351(_chop)
   311527    0.141    0.000    0.261    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\devicearray.py:852(auto_device)
    95174    0.045    0.000    0.261    0.000 {method 'any' of 'numpy.ndarray' objects}
   459838    0.098    0.000    0.260    0.000 C:\Users\Nihal\anaconda3\lib\abc.py:117(__instancecheck__)
        1    0.000    0.000    0.257    0.257 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\libdevicedecl.py:1(<module>)
    95228    0.092    0.000    0.252    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\base.py:41(shape)
    31923    0.011    0.000    0.248    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:61(isna)
   110482    0.073    0.000    0.248    0.000 C:\Users\Nihal\anaconda3\lib\contextlib.py:261(helper)
        1    0.246    0.246    0.246    0.246 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\libdevicefuncs.py:1(<module>)
   109612    0.079    0.000    0.245    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1718(validate_all_hashable)
    31923    0.032    0.000    0.237    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:144(_isna)
   700938    0.145    0.000    0.234    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:3084(is_device_memory)
   109617    0.126    0.000    0.225    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\series.py:577(name)
   236715    0.222    0.000    0.222    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.219    0.219 C:\Users\Nihal\anaconda3\lib\site-packages\numba\core\compiler.py:439(compile_extra)
        1    0.000    0.000    0.219    0.219 C:\Users\Nihal\anaconda3\lib\site-packages\numba\core\compiler.py:508(_compile_bytecode)
        1    0.000    0.000    0.219    0.219 C:\Users\Nihal\anaconda3\lib\site-packages\numba\core\compiler.py:462(_compile_core)
    77881    0.078    0.000    0.219    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5174(_get_values_for_loc)
        1    0.000    0.000    0.219    0.219 C:\Users\Nihal\anaconda3\lib\site-packages\numba\core\compiler_machinery.py:342(run)
       25    0.001    0.000    0.218    0.009 C:\Users\Nihal\anaconda3\lib\site-packages\numba\core\compiler_machinery.py:268(_runPass)
    95176    0.031    0.000    0.216    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numpy\core\_methods.py:55(_any)
     5440    0.008    0.000    0.215    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\utils.py:317(disp_trim)
   312143    0.144    0.000    0.211    0.000 <frozen importlib._bootstrap>:398(parent)
   389408    0.096    0.000    0.210    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:3095(require_device_memory)
        2    0.000    0.000    0.209    0.105 C:\Users\Nihal\anaconda3\lib\site-packages\scipy\io\matlab\_mio.py:86(loadmat)
   109589    0.100    0.000    0.209    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5695(_maybe_cast_indexer)
        2    0.000    0.000    0.208    0.104 C:\Users\Nihal\anaconda3\lib\site-packages\scipy\io\matlab\_mio5.py:294(get_variables)
       12    0.000    0.000    0.207    0.017 C:\Users\Nihal\anaconda3\lib\site-packages\scipy\io\matlab\_mio5.py:275(read_var_array)
       12    0.206    0.017    0.207    0.017 {method 'array_from_header' of 'scipy.io.matlab._mio5_utils.VarReader5' objects}
       75    0.000    0.000    0.207    0.003 C:\Users\Nihal\anaconda3\lib\site-packages\numba\core\compiler_machinery.py:272(check)
        3    0.000    0.000    0.207    0.069 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\data\graph_serialize.py:83(save_graphs)
        3    0.000    0.000    0.203    0.068 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\data\heterograph_serialize.py:22(save_heterographs)
    31747    0.121    0.000    0.202    0.000 {method 'get_slice' of 'pandas._libs.internals.BlockManager' objects}
473192/472994    0.184    0.000    0.201    0.000 {built-in method builtins.hasattr}
    77893    0.194    0.000    0.194    0.000 {pandas._libs.lib.infer_datetimelike_array}
   111741    0.060    0.000    0.192    0.000 {built-in method builtins.any}
   109589    0.191    0.000    0.191    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
    31698    0.187    0.000    0.187    0.000 {pandas._libs.algos.take_2d_axis1_float64_float64}
    95200    0.186    0.000    0.186    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    84/48    0.181    0.002    0.183    0.004 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\_ctypes\function.py:202(__call__)
  2414318    0.183    0.000    0.183    0.000 {built-in method _ctypes.addressof}
    31919    0.075    0.000    0.179    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:221(_isna_array)
    31698    0.091    0.000    0.179    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexers.py:249(maybe_convert_indices)
    77893    0.067    0.000    0.179    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\construction.py:780(is_empty_data)
   311542    0.177    0.000    0.177    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\devicearray.py:556(flags)
   110482    0.144    0.000    0.174    0.000 C:\Users\Nihal\anaconda3\lib\contextlib.py:86(__init__)
    31694    0.059    0.000    0.170    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:1636(_is_label_reference)
    78081    0.096    0.000    0.169    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:1946(check_ndim)
109857/109853    0.060    0.000    0.167    0.000 {built-in method builtins.all}
   109596    0.060    0.000    0.163    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\series.py:674(_values)
    95903    0.063    0.000    0.163    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1230(is_float_dtype)
   459838    0.160    0.000    0.162    0.000 {built-in method _abc._abc_instancecheck}
    77901    0.129    0.000    0.162    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\_config\config.py:565(_get_root)
    63392    0.050    0.000    0.162    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\algorithms.py:1427(take)
        1    0.161    0.161    0.161    0.161 {pandas._libs.lib.dicts_to_array}
