Tue Apr 30 23:32:51 2024    profile_results.prof

         381888991 function calls (379409861 primitive calls) in 5438.124 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      168    0.050    0.000    2.263    0.013 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:2042(to_native_types)
    31698    0.138    0.000    2.208    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:680(<listcomp>)
    31707    0.070    0.000    2.198    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:3418(__getitem__)
 17694359    2.167    0.000    2.167    0.000 {built-in method _ctypes.byref}
   155785    0.696    0.000    2.136    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\devices.py:146(_get_or_create_context_uncached)
   271558    0.431    0.000    2.112    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\frame.py:938(<dictcomp>)
 14664759    2.101    0.000    2.101    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\base.py:58(check_call)
    31707    0.098    0.000    2.081    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:3876(_get_item_cache)
507484/507396    0.178    0.000    2.026    0.000 {built-in method builtins.next}
  1222017    2.021    0.000    2.021    0.000 {method 'item' of 'torch._C.TensorBase' objects}
  7827022    1.377    0.000    1.960    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\utils.py:306(<genexpr>)
   135779    0.154    0.000    1.954    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:1170(graph)
  1086241    1.946    0.000    1.946    0.000 {built-in method torch._C._get_tracing_state}
   135788    0.158    0.000    1.909    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:397(num_edges)
   543122    0.320    0.000    1.885    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\backend\pytorch\tensor.py:125(astype)
   950468    1.883    0.000    1.883    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\backend\pytorch\tensor.py:115(to_backend_ctx)
   814686    0.518    0.000    1.837    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\frame.py:517(_init)
   155788    0.259    0.000    1.831    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\devices.py:110(ensure_context)
    77882    0.114    0.000    1.786    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\codegen.py:182(get_cufunc)
   135803    0.162    0.000    1.754    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:382(num_nodes)
   678901    0.327    0.000    1.746    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\backend\pytorch\tensor.py:56(as_scalar)
110485/110441    0.060    0.000    1.687    0.000 C:\Users\Nihal\anaconda3\lib\contextlib.py:114(__enter__)
   271558    0.550    0.000    1.680    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\frame.py:432(subcolumn)
    77881    0.427    0.000    1.670    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:2537(launch_kernel)
    77904    0.039    0.000    1.654    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\devices.py:216(get_context)
       62    1.639    0.026    1.639    0.026 {pandas._libs.writers.write_csv_rows}
  1086247    1.165    0.000    1.639    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph.py:1297(get_ntype_id)
 23741716    1.623    0.000    1.623    0.000 {method 'append' of 'list' objects}
    77943    0.140    0.000    1.575    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1569(from_array)
   543122    1.565    0.000    1.565    0.000 {method 'type' of 'torch._C.TensorBase' objects}
   233679    0.538    0.000    1.531    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:482(__enter__)
   678901    1.113    0.000    1.506    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph.py:1230(to_canonical_etype)
    95097    0.141    0.000    1.450    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:1121(take_nd)
   135797    0.186    0.000    1.390    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\container.py:90(data)
    78081    0.278    0.000    1.382    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\construction.py:463(sanitize_array)
   271570    0.910    0.000    1.320    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\frame.py:151(infer_scheme)
   271564    0.355    0.000    1.319    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\frame.py:596(<dictcomp>)
   271558    0.626    0.000    1.318    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\utils\internal.py:1161(context_of)
    78156    0.260    0.000    1.312    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:1931(new_block)
    31779    0.040    0.000    1.312    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:573(__init__)
  1222032    0.871    0.000    1.287    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\base.py:23(<lambda>)
    31706    0.131    0.000    1.262    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:977(iget)
  1753640    0.798    0.000    1.257    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\base.py:4587(__getitem__)
605990/603439    1.094    0.000    1.256    0.000 {method 'format' of 'str' objects}
