Sun Apr 28 19:45:48 2024    profile_results.prof

         1411520288 function calls (1401943756 primitive calls) in 5514.599 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   135779    0.463    0.000   11.663    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:1205(<listcomp>)
  1199913   11.486    0.000   11.486    0.000 {pandas._libs.algos.take_2d_axis1_int64_int64}
  3504757   11.062    0.000   11.062    0.000 {built-in method pandas._libs.missing.isnaobj}
  3504763    1.816    0.000   10.587    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:458(is_interval_dtype)
  4814346    7.958    0.000   10.539    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:233(__init__)
  3504761    3.092    0.000   10.504    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\dtypes.py:950(is_dtype)
  3614328    3.587    0.000   10.496    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\series.py:627(name)
  4768215   10.493    0.000   10.493    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  7009431    7.039    0.000   10.468    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numpy\core\_dtype.py:344(_name_get)
    28484    0.083    0.000   10.441    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:345(print_status)
  3599997    3.765    0.000   10.389    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\base.py:41(shape)
 12916014    6.150    0.000   10.018    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1420(is_extension_array_dtype)
  3692115    2.618    0.000    9.919    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\base.py:3317(get_loc)
   135779    0.135    0.000    9.891    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\torch\functional.py:995(_return_inverse)
   950468    0.988    0.000    9.706    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph.py:5631(device)
  5295408    6.971    0.000    9.668    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\ndarray.py:206(shape)
    28484    0.092    0.000    9.137    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:339(fp_write)
    56984    0.049    0.000    9.046    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\utils.py:125(inner)
    28500    8.957    0.000    8.957    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   814689    0.473    0.000    8.894    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\ndarray.py:184(from_dlpack)
  4673112    3.215    0.000    8.785    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:160(is_object_dtype)
  3504763    2.152    0.000    8.529    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\dtypes.py:1201(is_dtype)
   678904    0.581    0.000    8.437    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph.py:1389(get_etype_id)
   814689    5.185    0.000    8.421    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\_ctypes\ndarray.py:28(_from_dlpack)
   271558    0.486    0.000    8.291    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:486(predecessors)
   135779    0.631    0.000    8.237    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\utils\internal.py:842(extract_node_subframes)
  3505057    2.098    0.000    8.198    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:496(is_categorical_dtype)
  4966508    1.161    0.000    7.961    0.000 C:\Users\Nihal\anaconda3\lib\abc.py:117(__instancecheck__)
    31700    0.044    0.000    7.819    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\util\_decorators.py:302(wrapper)
   271600    0.796    0.000    7.788    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\container.py:21(__getitem__)
98199898/98199801    7.771    0.000    7.781    0.000 {built-in method builtins.getattr}
   407343    0.668    0.000    7.666    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:93(number_of_etypes)
   950468    0.630    0.000    7.275    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:189(ctx)
  3614329    2.035    0.000    6.909    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1718(validate_all_hashable)
   678901    1.178    0.000    6.881    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\backend\pytorch\tensor.py:38(tensor)
