Mon Apr 29 22:09:27 2024    profile_results.prof

         124232351 function calls (123790590 primitive calls) in 804.139 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    95107    0.173    0.000    0.315    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\array_algos\take.py:517(_take_preprocess_indexer_and_fill_value)
      197    0.001    0.000    0.305    0.002 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\target.py:23(load_additional_registries)
   459838    0.109    0.000    0.299    0.000 C:\Users\Nihal\anaconda3\lib\abc.py:117(__instancecheck__)
        1    0.000    0.000    0.284    0.284 C:\Users\Nihal\anaconda3\lib\site-packages\numba\core\compiler.py:439(compile_extra)
        1    0.000    0.000    0.283    0.283 C:\Users\Nihal\anaconda3\lib\site-packages\numba\core\compiler.py:508(_compile_bytecode)
        1    0.000    0.000    0.283    0.283 C:\Users\Nihal\anaconda3\lib\site-packages\numba\core\compiler.py:462(_compile_core)
        1    0.000    0.000    0.283    0.283 C:\Users\Nihal\anaconda3\lib\site-packages\numba\core\compiler_machinery.py:342(run)
       25    0.001    0.000    0.282    0.011 C:\Users\Nihal\anaconda3\lib\site-packages\numba\core\compiler_machinery.py:268(_runPass)
    31694    0.040    0.000    0.278    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\groupby\ops.py:1351(_chop)
    77881    0.095    0.000    0.274    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5174(_get_values_for_loc)
       75    0.000    0.000    0.271    0.004 C:\Users\Nihal\anaconda3\lib\site-packages\numba\core\compiler_machinery.py:272(check)
   109617    0.141    0.000    0.271    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\series.py:577(name)
   311527    0.155    0.000    0.270    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\devicearray.py:852(auto_device)
     6891    0.011    0.000    0.269    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\utils.py:317(disp_trim)
    95174    0.046    0.000    0.268    0.000 {method 'any' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.266    0.266 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\libdevicedecl.py:1(<module>)
   109612    0.089    0.000    0.264    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1718(validate_all_hashable)
    31923    0.012    0.000    0.261    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:61(isna)
   109589    0.124    0.000    0.257    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5695(_maybe_cast_indexer)
   110482    0.086    0.000    0.256    0.000 C:\Users\Nihal\anaconda3\lib\contextlib.py:261(helper)
        1    0.254    0.254    0.255    0.255 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\libdevicefuncs.py:1(<module>)
    78081    0.118    0.000    0.251    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:1946(check_ndim)
   109589    0.250    0.000    0.250    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
